Team,Game No.,Offensive Rating
1954-55,1,598.6842105263156
1954-55,2,620.4819277108434
1954-55,3,695.5445544554455
1954-55,4,651.4598540145985
1954-55,5,663.1097560975609
1954-55,6,655.3030303030301
1954-55,7,676.4069264069262
1954-55,8,672.5746268656716
1954-55,9,400.7976071784646
1954-55,10,320.2005730659025
1954-55,11,246.44670050761417
1954-55,12,255.1319648093841
1955-56,1,655.4054054054053
1955-56,2,767.2413793103448
1955-56,3,662.4999999999999
1955-56,4,589.2857142857142
1955-56,5,593.9153439153438
1955-56,6,593.2017543859648
1955-56,7,369.5652173913043
1955-56,8,274.3506493506493
1955-56,9,226.02321319486865
1955-56,10,235.61882626380006
1955-56,11,212.3188405797101
1955-56,12,223.64672364672361
1955-56,13,241.49816176470586
1955-56,14,218.91996891996888
1955-56,15,202.73003033367036
1955-56,16,190.87074420006024
1955-56,17,179.86666666666665
1955-56,18,166.58862093186605
1955-56,19,160.94420600858368
1955-56,20,167.40787801778905
1955-56,21,174.5204336947456
1955-56,22,182.36266005782733
1955-56,23,174.8472116119175
1955-56,24,181.50037792894935
1955-56,25,176.2904636920385
1955-56,26,168.13875060221613
1956-57,1,94.16445623342176
1956-57,2,96.39303482587066
1956-57,3,148.85057471264366
1956-57,4,185.8974358974359
1956-57,5,215.0
1956-57,6,243.84469696969697
1956-57,7,197.1830985915493
1956-57,8,174.98672331386084
1956-57,9,156.43522438611345
1956-57,10,170.2868852459016
1956-57,11,161.0076670317634
1956-57,12,152.4564183835182
1956-57,13,142.5181462869905
1956-57,14,137.83102143757878
1956-57,15,144.85165794066316
1956-57,16,153.54427274957072
1956-57,17,159.7875935312575
1956-57,18,151.14768297964483
1956-57,19,147.36525746343415
1956-57,20,153.51137487636
1956-57,21,149.25643815741745
1956-57,22,155.08261494252872
1956-57,23,149.91666666666663
1956-57,24,144.9498843484965
1957-58,1,91.58415841584159
1957-58,2,100.0
1957-58,3,97.26027397260275
1957-58,4,113.69509043927648
1957-58,5,108.141702921069
1957-58,6,101.75695461200587
1957-58,7,101.61221892235895
1957-58,8,99.3943712148201
1957-58,9,98.4872360542074
1957-58,10,95.60283687943264
1957-58,11,95.4684317718941
1957-58,12,103.31825037707392
1957-58,13,103.12783318223029
1957-58,14,104.03397027600852
1957-58,15,103.00811399168812
1957-58,16,109.58095612827073
1957-58,17,109.60523922139349
1957-58,18,110.07106950944706
1957-58,19,115.02830674215132
1957-58,20,120.27141645462255
1957-58,21,119.24249719146205
1957-58,22,123.50977587029088
1957-58,23,123.28034240293488
1957-58,24,121.74422007609012
1957-58,25,119.8032150776053
1958-59,1,71.61458333333334
1958-59,2,80.73270013568522
1958-59,3,79.40663176265271
1958-59,4,84.11843876177659
1958-59,5,83.5978835978836
1958-59,6,83.26086956521739
1958-59,7,82.89374529012812
1958-59,8,82.30999004314637
1958-59,9,82.83403235470342
1958-59,10,82.83622559652929
1958-59,11,81.78816357632716
1958-59,12,81.2370182321717
1958-59,13,85.48276649166857
1958-59,14,85.55252673516462
1958-59,15,87.35587258159077
1958-59,16,87.89912917271407
1958-59,17,89.23103096291256
1958-59,18,89.74562798092208
1958-59,19,89.89520958083831
1958-59,20,89.64002267573694
1958-59,21,90.4704463208685
1958-59,22,90.11922881785894
1958-59,23,90.15197568389056
1958-59,24,91.1373190098085
1958-59,25,90.64652299489002
1959-60,1,81.66666666666666
1959-60,2,89.17682926829266
1959-60,3,88.73239436619717
1959-60,4,93.16120027913468
1959-60,5,98.0
1959-60,6,97.64309764309765
1959-60,7,108.4081247047709
1959-60,8,105.2843888664784
1959-60,9,103.95519775988798
1959-60,10,110.25111799105605
1959-60,11,109.5434369055168
1959-60,12,108.23081429408316
1959-60,13,106.4549713690786
1959-60,14,104.53251067869007
1959-60,15,105.57679334382728
1959-60,16,103.74398661367914
1959-60,17,101.7458777885548
1959-60,18,101.02187163858014
1959-60,19,99.78162271123804
1959-60,20,99.42820838627702
1959-60,21,104.5397423814012
1959-60,22,102.95213955568809
1959-60,23,102.99915516755844
1959-60,24,103.29966329966331
1959-60,25,103.09877340219498
1959-60,26,107.93630409657122
1959-60,27,107.42525327403014
1959-60,28,106.65559378336695
1960-61,1,114.9425287356322
1960-61,2,104.48807854137448
1960-61,3,102.18631178707224
1960-61,4,108.93098782138027
1960-61,5,106.14973262032086
1960-61,6,102.18652387327087
1960-61,7,103.12619138391155
1960-61,8,104.01459854014597
1960-61,9,104.36182669789227
1960-61,10,104.56121632435315
1960-61,11,106.65676812670131
1960-61,12,105.38667858739383
1960-61,13,104.6935059680356
1960-61,14,104.38314755337237
1960-61,15,103.17183687696061
1960-61,16,103.74477659916425
1960-61,17,104.19198055893074
1960-61,18,103.42584562012141
1960-61,19,104.76255645271657
1960-61,20,105.26315789473684
1960-61,21,105.20094562647753
1960-61,22,105.16912815626489
1960-61,23,104.18315432447712
1960-61,24,104.8144971048681
1960-61,25,105.23849198083732
1960-61,26,105.3840775147338
1960-61,27,104.95710200190658
1960-61,28,104.4660016472957
1961-62,1,95.46539379474942
1961-62,2,110.42600896860988
1961-62,3,107.5227963525836
